sentence_id,source,output_with_context,output_without_context,latency_with_s,latency_without_s,translation_repetition_with,translation_repetition_without,is_grammar_break_with,is_grammar_break_without
1,Mister Quilter Is The Apostle Of The Middle Classes And We Are Glad To Welcome His Gospel,Mister Quilter is the Apostle of the Middle Classes and We Are Glad to Welcome his Gospel,Mister Quilter is the Apostle of the Middle Classes and We Are Glad to Welcome his Gospel,0.6715,0.0707,False,False,True,True
2,Nor Is Mister Quilter'S Manner Less Interesting Than His Matter,Mister Quilter मध्य कक्षाओं का प्रेरित है और हम ग्लेड टू वेलकम हिस्सेल्स नोर मिस्टर क्विल्टर के मैनर कम इंटरेस्टिंग थे उनके मैटर,न ही मिस्टर क्विल्टर के मैनर उनके मैटर से कम ब्याज,0.1194,0.0591,False,False,False,False
3,He Tells Us That At This Festive Season Of The Year With Christmas And Roast Beef Looming Before Us Similes Drawn From Eating And Its Results Occur Most Readily To The Mind,Mister Quilter मध्य कक्षाओं का प्रेरित है और हम ग्लेड टू वेलकम हिस्सेल्स नोर मिस्टर क्विल्टर के मैनर कम इंटरेस्टिंग टू द मैटर हे हमें बताते हैं कि इस वर्ष के इस उत्सव के मौसम में क्रिसमस एंड रोस्ट बीफ लूमिंग के साथ हमारे पहले सिमाइल्स ने इटिंग एंड इसके परिणाम्स ऑक्योर मोस्टली टू द माइंड,वह हमें बताता है कि क्रिसमस एंड रोस्ट बीफ लूमिंग के साथ वर्ष के इस उत्सव के मौसम में हम से पहले सिमाइल्स ने भोजन और इसके परिणाम से निकाला Occur सबसे Ready to the Mind,0.2631,0.1244,False,False,False,False
4,He Has Grave Doubts Whether Sir Frederick Leighton'S Work Is Really Greek After All And Can Discover In It But Little Of Rocky Ithaca,"न ही मिस्टर क्विल्टर के मैनर ने अपने मैटर से कम दिलचस्पी व्यक्त की है कि वह हमें बताता है कि क्रिसमस एंड रोस्ट बीफ लूमिंग के साथ वर्ष के इस उत्सव के मौसम में हम से पहले सिमाइल्स ने इटिंग एंड इसके परिणामों से आकर्षित किया Occur सबसे Readily To the Mind He Has Grave Doubts चाहे Sir Frederick Leighton's Work is Really ग्रीक after All And Can डिस्कवर In it, लेकिन लिटिल ऑफ़ रॉकी इथाका",वह है ग्रेव डब्स कि क्या सर फ्रेडरिक लेटिन का काम वास्तव में ग्रीक है सब के बाद और डिस्कवर कर सकते हैं यह लेकिन लिटिल ऑफ रॉकी इथाका,0.3322,0.1100,False,False,False,False
5,Linnell'S Pictures Are A Sort Of Up Guards And At Em Paintings And Mason'S Exquisite Idylls Are As National As A Jingo Poem Mister Birket Foster'S Landscapes Smile At One Much In The Same Way That Mister Carker Used To Flash His Teeth And Mister John Collier Gives His Sitter A Cheerful Slap On The Back Before He Says Like A Shampooer In A Turkish Bath Next Man,वह हमें बताता है कि क्रिसमस एंड रोस्ट बीफ लूमिंग के साथ वर्ष के इस उत्सव के मौसम में हम से पहले सिमाइल्स ने ईटिंग और इसके परिणाम ओक्कर को सबसे अधिक पढ़े जाने वाले माइंड के लिए उन्होंने ग्रेव डोब्ट्स कि क्या सर फ्रेडरिक लेटिन का काम वास्तव में ग्रीक है और यह पता लगा सकता है कि लेकिन रॉकी इथाका लिन्नेल के चित्र एक प्रकार के गार्ड हैं और एमिल पेंटिंग्स एंड मैसन के एक्सक्साइट आइडल्स के रूप में नेशनल ए जिन्गो पोम मिस्टर बर्केट फोस्टर के लैंडस्केप्स स्माइल एट टू द सैम वे कॉल्टर और मैस्टर की पसंद करने वालों के लिए एक बड़ा मौका है।,Linnell के चित्र एक प्रकार का गार्ड हैं और Em चित्रों और Mason के अति सुंदर Idylls As National As A Jingo Poem Mister Birket Foster's landscapes Smile At One Much In The Same Way That Mister Carker Used to flash his teeth and Mister John Collier Gives his Sitter A Cheerful Slap on the Back before He Says like A Shampooer in A Turkish Bath आगामी Man,0.5458,0.2730,False,False,False,False
6,It Is Obviously Unnecessary For Us To Point Out How Luminous These Criticisms Are How Delicate In Expression,"He Has Grave Doubts कि सर फ्रेडरिक लेटिन का काम वास्तव में यूनानी है, सभी के बाद और यह में पता लगा सकते हैं, लेकिन लिटिल ऑफ रॉकी इथाका लिन्नेल की तस्वीरें A क्रमबद्ध of Up Guards और At Em पेंटिंग्स और Mason की अति सुंदर Idylls Are As National As A Jingo Poem Mister Birket Foster's लैंडस्केप्स स्माइल एट द सैम वे में कि Mister Carker ने अपने दाँत और Mister John Collier Gives his Sitter A Cheerful Slap On the Back before He Says A Shampooer In A टर्किश Bath अगली Man.",यह स्पष्ट रूप से आवश्यक है कि हम कैसे प्रकाशयुक्त इन आलोचनाओं को इंगित करने के लिए कैसे अभिव्यक्ति में नाजुक हैं,0.5158,0.0757,False,False,False,False
7,On The General Principles Of Art Mister Quilter Writes With Equal Lucidity,Linnell के चित्र एक प्रकार का गार्ड हैं और Em चित्रों और Mason के अति सुंदर Idylls As National As A Jingo Poem Mister Birket Foster's landscapes Smile At One Much In The Same Way That Mister Carker Used to flash his teeth and Mister John Collier Gives his Sitter A Cheerful Slap on the Back before He Says Like A Shampooer in A Turkish Bath Next Man it is Obviously Unnecessary For Us To Point Out How light इन Criticism Are How Delicate in Expression on the आर्ट मिस्टर Lucilter राइट्स इक्वलिटी,आर्ट मिस्टर क्विल्टर के सामान्य सिद्धांतों पर समान ल्यूसिडिटी के साथ लिखते हैं,0.4578,0.0570,False,False,False,False
8,Painting He Tells Us Is Of A Different Quality To Mathematics And Finish In Art Is Adding More Fact,"यह स्पष्ट रूप से आवश्यक है कि हम कैसे प्रकाशयुक्त इन आलोचनाओं को इंगित करने के लिए आर्ट मिस्टर Quilter के सामान्य सिद्धांतों पर एक्सप्रेशन में कैसे नाजुक हैं, समान लुसीडिटी पेंटिंग के साथ लिखते हैं, वह हमें बताता है कि एक अलग गुणवत्ता है गणित और खत्म करने के लिए कला में अधिक तथ्य जोड़ना है",चित्रकारी वह हमें बताता है कि कला में गणित और खत्म करने के लिए एक अलग गुणवत्ता अधिक तथ्य जोड़ना है,0.2223,0.0673,False,False,False,False
9,As For Etchings They Are Of Two Kinds British And Foreign,कला Mister Quilter के सामान्य सिद्धांतों पर समान ल्यूसिडिटी पेंटिंग के साथ लिखते हैं। वह हमें बताता है कि गणित की एक अलग गुणवत्ता है और कला में खत्म हो गया है और तथ्य यह है कि वे दो प्रकार के ब्रिटिश और विदेशी हैं।,वे दो प्रकार के ब्रिटिश और विदेशी हैं,0.1558,0.0354,False,False,False,False
10,He Laments Most Bitterly The Divorce That Has Been Made Between Decorative Art And What We Usually Call Pictures Makes The Customary Appeal To The Last Judgment And Reminds Us That In The Great Days Of Art Michael Angelo Was The Furnishing Upholsterer,चित्रकारी वह हमें बताता है कि गणित की एक अलग गुणवत्ता है और कला में खत्म करने के लिए इचिंग के लिए अधिक तथ्य जोड़ना है। वे दो प्रकार के ब्रिटिश और विदेशी हे लामेंट्स के हैं। अधिकतर तलाक कि सजावटी कला के बीच बनाया गया है और हम आम तौर पर कॉल पिक्चर्स द कस्टमरी अपील टू द लास्ट जजमेंट एंड रिमिन्ड्स हमें द ग्रेट डेज ऑफ आर्ट माइकल एंजेलो था फर्निशिंग असबाबवाला,वह Lament अधिकांश Bitterly The Divorce That Has Been मेड बीच डेकोरेटिव आर्ट और क्या हम आम तौर पर कॉल पिक्चर्स बनाना The Customary Appeal to The Last Judgment and Reminds हमें कि In the Great Days of Art Michael Angelo Was The Furnishing असबाबवाला,0.2838,0.1941,False,False,False,False
